Age,Gender
55.0,bd.
46.0,bd.
43.0,bd.
52.0,bd.
,bd.
36.0,bd.
52.0,bd.
56.0,bd.
43.0,bd.
29.0,bd.
42.0,bd.
53.0,bd.
,bd.
31.0,bd.
25.0,bd.
46.0,bd.
42.0,bd.
20.0,bd.
38.0,bd.
49.0,bd.
35.0,bd.
36.0,bd.
40.0,bd.
29.0,bd.
33.0,bd.
43.0,bd.
40.0,bd.
44.0,bd.
33.0,bd.
25.0,bd.
46.0,bd.
33.0,bd.
46.0,bd.
39.0,bd.
49.0,bd.
63.0,bd.
29.0,bd.
24.0,bd.
47.0,bd.
39.0,bd.
29.0,bd.
30.0,bd.
45.0,bd.
45.0,bd.
,bd.
39.0,bd.
48.0,bd.
43.0,bd.
53.0,bd.
48.0,bd.
61.0,bd.
28.0,bd.
35.0,bd.
34.0,bd.
30.0,bd.
33.0,bd.
34.0,bd.
41.0,bd.
46.0,bd.
,bd.
33.0,bd.
44.0,bd.
21.0,bd.
36.0,bd.
,bd.
38.0,bd.
27.0,bd.
34.0,bd.
31.0,bd.
38.0,bd.
55.0,bd.
57.0,bd.
53.0,bd.
49.0,bd.
30.0,bd.
55.0,bd.
,bd.
42.0,bd.
40.0,bd.
38.0,bd.
44.0,bd.
66.0,bd.
52.0,bd.
39.0,bd.
30.0,bd.
29.0,bd.
,bd.
28.0,bd.
39.0,bd.
70.0,bd.
42.0,bd.
35.0,bd.
35.0,bd.
49.0,bd.
48.0,bd.
34.0,bd.
41.0,bd.
22.0,bd.
