Age,Gender
33.0,M
55.0,bd.
50.0,M
36.0,M
62.0,K
46.0,bd.
38.0,M
43.0,bd.
52.0,bd.
52.0,M
51.0,M
48.0,M
50.0,K
,bd.
,K
29.0,M
54.0,M
30.0,M
34.0,K
52.0,M
43.0,M
48.0,M
29.0,M
42.0,K
47.0,M
33.0,M
63.0,M
27.0,M
45.0,M
36.0,bd.
,K
40.0,K
30.0,M
33.0,K
52.0,bd.
45.0,K
44.0,M
46.0,M
22.0,M
35.0,K
39.0,M
44.0,M
45.0,M
46.0,K
56.0,bd.
39.0,M
43.0,bd.
37.0,K
,M
35.0,M
29.0,bd.
72.0,K
42.0,bd.
,M
30.0,M
53.0,bd.
,bd.
32.0,K
32.0,K
21.0,K
31.0,M
,K
46.0,M
31.0,bd.
30.0,K
25.0,bd.
46.0,K
46.0,bd.
42.0,bd.
40.0,M
29.0,K
,K
20.0,bd.
44.0,M
43.0,K
60.0,M
40.0,M
38.0,K
36.0,M
38.0,M
37.0,M
36.0,K
34.0,M
49.0,K
,M
38.0,bd.
50.0,M
51.0,K
50.0,M
28.0,K
37.0,K
42.0,M
47.0,M
,M
37.0,M
42.0,K
40.0,M
46.0,K
41.0,M
49.0,bd.
41.0,M
35.0,M
35.0,bd.
29.0,K
51.0,M
50.0,K
36.0,bd.
40.0,bd.
41.0,K
49.0,M
48.0,M
,M
38.0,M
47.0,M
59.0,M
37.0,K
41.0,M
29.0,bd.
,M
33.0,bd.
63.0,K
28.0,M
46.0,M
37.0,M
27.0,M
55.0,M
40.0,M
49.0,K
40.0,M
43.0,bd.
,M
44.0,M
38.0,K
30.0,M
55.0,M
40.0,bd.
34.0,M
44.0,bd.
28.0,K
18.0,K
54.0,K
45.0,K
,M
31.0,M
33.0,bd.
,M
25.0,M
,M
20.0,M
19.0,M
25.0,bd.
30.0,K
39.0,M
38.0,M
27.0,M
,M
51.0,M
,K
44.0,M
46.0,bd.
33.0,bd.
31.0,K
37.0,M
46.0,bd.
45.0,M
37.0,M
51.0,K
39.0,bd.
49.0,bd.
31.0,K
50.0,K
44.0,M
48.0,M
41.0,M
40.0,M
34.0,M
33.0,K
40.0,K
,M
63.0,bd.
,K
43.0,M
26.0,K
39.0,M
29.0,bd.
57.0,K
21.0,K
24.0,bd.
55.0,M
,K
42.0,K
,M
44.0,M
50.0,M
34.0,M
35.0,M
37.0,M
,M
40.0,M
43.0,M
27.0,M
,M
32.0,K
35.0,M
47.0,bd.
49.0,M
52.0,M
39.0,bd.
48.0,M
29.0,bd.
30.0,bd.
35.0,K
42.0,M
35.0,K
45.0,bd.
28.0,M
39.0,M
49.0,K
50.0,M
40.0,M
48.0,M
46.0,K
29.0,M
43.0,M
45.0,bd.
,bd.
39.0,bd.
48.0,bd.
41.0,M
54.0,M
55.0,K
57.0,M
45.0,K
,K
48.0,M
43.0,bd.
53.0,bd.
33.0,M
,M
65.0,M
34.0,M
52.0,M
28.0,M
48.0,bd.
27.0,K
30.0,M
61.0,bd.
56.0,M
,K
41.0,M
,M
30.0,M
29.0,K
21.0,M
28.0,bd.
48.0,K
35.0,bd.
34.0,bd.
,M
30.0,bd.
33.0,bd.
25.0,M
19.0,M
35.0,M
39.0,K
42.0,K
44.0,M
34.0,bd.
41.0,bd.
50.0,M
38.0,M
39.0,M
40.0,M
44.0,M
36.0,M
30.0,K
,K
40.0,M
46.0,M
44.0,M
44.0,K
27.0,K
48.0,K
48.0,M
34.0,M
37.0,K
41.0,K
46.0,bd.
47.0,M
,bd.
33.0,bd.
51.0,M
41.0,M
44.0,M
44.0,K
40.0,M
44.0,bd.
31.0,K
47.0,K
38.0,K
48.0,M
36.0,M
20.0,M
40.0,M
32.0,K
59.0,M
37.0,K
,M
45.0,M
36.0,K
21.0,bd.
,K
38.0,M
,M
67.0,M
49.0,K
,K
49.0,K
36.0,bd.
40.0,K
34.0,M
,bd.
36.0,K
40.0,M
38.0,bd.
38.0,K
47.0,M
53.0,M
47.0,M
27.0,bd.
34.0,bd.
25.0,K
52.0,K
37.0,M
31.0,bd.
44.0,K
23.0,M
34.0,M
31.0,M
,M
38.0,bd.
42.0,K
62.0,M
55.0,bd.
23.0,K
37.0,M
55.0,K
32.0,K
57.0,bd.
29.0,M
53.0,bd.
,M
28.0,M
47.0,K
43.0,K
25.0,M
31.0,K
49.0,bd.
42.0,M
30.0,bd.
35.0,K
58.0,M
34.0,M
40.0,M
39.0,M
49.0,M
36.0,K
18.0,K
55.0,bd.
,M
,M
,K
41.0,M
33.0,K
,M
33.0,M
40.0,K
47.0,K
,M
40.0,K
45.0,M
36.0,K
,bd.
36.0,K
44.0,M
38.0,M
31.0,M
42.0,bd.
40.0,bd.
25.0,K
59.0,M
41.0,M
38.0,bd.
26.0,K
53.0,K
32.0,M
30.0,M
50.0,M
44.0,bd.
32.0,K
28.0,M
43.0,M
32.0,K
35.0,M
28.0,K
47.0,K
36.0,M
37.0,M
31.0,K
,K
66.0,bd.
43.0,M
48.0,K
52.0,bd.
42.0,K
41.0,K
44.0,M
37.0,K
42.0,M
52.0,K
39.0,bd.
26.0,M
49.0,M
38.0,M
30.0,bd.
29.0,bd.
48.0,M
,bd.
38.0,K
28.0,bd.
41.0,M
39.0,bd.
70.0,bd.
43.0,M
43.0,M
42.0,bd.
35.0,bd.
25.0,M
41.0,K
55.0,M
38.0,M
35.0,bd.
39.0,M
49.0,M
28.0,M
49.0,bd.
53.0,K
27.0,M
48.0,bd.
40.0,M
39.0,M
35.0,M
44.0,M
34.0,bd.
41.0,bd.
44.0,M
40.0,M
32.0,M
47.0,K
34.0,M
22.0,bd.
19.0,M
50.0,K
,K
41.0,M
61.0,M
