Dni_od_zakupu,Marka,Ocena
7,Beko,3.0
7,Beko,3.0
10,Beko,2.0
11,Tefal,2.5
3,Beko,2.5
14,Electrolux,2.5
8,Beko,2.0
10,Beko,2.0
6,Beko,3.0
10,Electrolux,0.5
6,Beko,3.5
6,Tefal,2.0
9,Beko,1.5
3,Beko,2.5
13,Beko,3.0
13,Tefal,3.0
10,Electrolux,1.5
10,Beko,3.0
10,Samsung,3.0
8,Beko,2.5
7,Tefal,2.5
3,Beko,4.5
9,Beko,4.0
6,Electrolux,2.0
5,Samsung,2.0
10,Tefal,1.5
8,Electrolux,3.0
4,Beko,3.5
4,Beko,3.5
7,Beko,2.5
4,Tefal,1.0
5,Beko,3.0
2,Tefal,4.0
4,Beko,0.5
5,Tefal,2.0
6,Beko,1.5
8,Beko,1.5
9,Beko,3.0
6,Electrolux,2.0
4,Samsung,5.0
7,Tefal,1.5
6,Beko,2.0
4,Beko,4.0
11,Beko,4.5
6,Electrolux,3.5
7,Tefal,1.0
7,Electrolux,1.0
8,Beko,3.5
4,Dyson,3.0
4,Beko,2.5
5,Beko,2.5
8,Dyson,1.5
3,Tefal,2.0
10,Beko,2.5
11,Beko,1.0
7,Beko,2.5
8,Beko,3.0
4,Beko,1.0
6,Electrolux,4.0
6,Beko,3.0
13,Beko,3.0
6,Beko,2.0
11,Beko,4.5
11,Tefal,3.5
3,Beko,2.5
5,Beko,3.0
3,Beko,3.0
13,Beko,2.0
9,Beko,2.0
11,Beko,2.0
5,Beko,0.0
7,Electrolux,2.0
6,Beko,2.5
6,Beko,1.5
7,Beko,5.0
1,Tefal,1.0
0,Beko,1.0
9,Beko,1.0
2,Tefal,1.0
6,Beko,4.0
6,Beko,2.5
13,Beko,4.0
4,Beko,1.5
9,Beko,1.5
9,Beko,2.0
10,Electrolux,3.0
10,Beko,1.0
7,Tefal,1.5
10,Beko,1.0
9,Beko,0.5
8,Beko,3.0
8,Beko,1.0
17,Beko,3.0
6,Beko,2.0
12,Dyson,4.0
6,Beko,4.5
9,Beko,0.0
6,Beko,3.0
4,Tefal,1.5
11,Beko,1.5
11,Tefal,2.5
7,Beko,2.0
6,Samsung,3.5
8,Beko,1.0
12,Dyson,5.0
10,Dyson,2.0
16,Beko,3.0
13,Beko,2.0
5,Beko,2.5
6,Beko,3.5
8,Samsung,2.0
9,Beko,1.0
7,Beko,3.0
8,Beko,3.0
4,Beko,2.0
4,Beko,2.0
5,Tefal,0.5
7,Beko,2.0
5,Beko,1.0
4,Beko,3.5
7,Beko,2.5
9,Dyson,1.0
8,Electrolux,2.5
8,Beko,2.5
10,Beko,2.5
10,Beko,1.5
11,Tefal,1.5
4,Beko,2.5
5,Dyson,2.0
11,Beko,1.0
6,Electrolux,2.0
8,Tefal,1.5
3,Beko,2.5
6,Beko,4.0
5,Beko,2.0
7,Beko,1.5
6,Beko,2.0
4,Dyson,5.0
