Dni_od_zakupu,Marka,Ocena
11,Tefal,2.5
6,Tefal,2.0
13,Tefal,3.0
7,Tefal,2.5
10,Tefal,1.5
4,Tefal,1.0
2,Tefal,4.0
5,Tefal,2.0
7,Tefal,1.5
7,Tefal,1.0
3,Tefal,2.0
11,Tefal,3.5
1,Tefal,1.0
2,Tefal,1.0
7,Tefal,1.5
4,Tefal,1.5
11,Tefal,2.5
5,Tefal,0.5
11,Tefal,1.5
8,Tefal,1.5
6,Tefal,2.5
6,Tefal,1.5
10,Tefal,1.0
4,Tefal,2.0
3,Tefal,4.0
3,Tefal,2.5
8,Tefal,3.0
10,Tefal,1.5
4,Tefal,2.5
6,Tefal,2.0
9,Tefal,1.5
6,Tefal,2.5
10,Tefal,4.0
5,Tefal,2.5
4,Tefal,0.5
7,Tefal,1.5
7,Tefal,2.5
7,Tefal,2.5
11,Tefal,3.5
7,Tefal,2.5
7,Tefal,2.0
8,Tefal,1.0
7,Tefal,2.5
10,Tefal,1.0
6,Tefal,5.0
4,Tefal,2.0
10,Tefal,2.0
5,Tefal,3.0
